suburb,address,price,beds,baths,parking,area_sqm,property_type,sale_date,sale_method
Castle Hill,"11 Tristan Court, Castle Hill",2325000,5,3,3.0,,House,2026-08-24,auction
Castle Hill,"66 David Road, Castle Hill",2312000,5,3,4.0,741.0,House,2026-08-22,auction
Castle Hill,"6 Bordeaux Crescent, Castle Hill",2320000,5,4,2.0,450.0,House,2026-08-21,private treaty
Castle Hill,"62 Excelsior Avenue, Castle Hill",1950000,3,1,1.0,1037.0,House,2026-08-21,prior to auction
Castle Hill,"57 Church Street, Castle Hill",2776000,4,2,3.0,916.0,House,2026-08-20,private treaty
Castle Hill,"111 Chepstow Drive, Castle Hill",2655000,6,4,3.0,700.0,House,2026-08-19,private treaty
Castle Hill,"96 Harrington Avenue, Castle Hill",1300000,3,2,2.0,229.0,Duplex,2026-08-18,prior to auction
Castle Hill,"405/27 Ashford Avenue, Castle Hill",632000,1,1,1.0,87.0,Apartment,2026-08-13,private treaty
Castle Hill,"55B First Farm Drive, Castle Hill",1800000,4,3,2.0,403.0,Semi-detached,2026-08-11,private treaty
Castle Hill,"2 Cumberland Avenue, Castle Hill",2305000,5,2,2.0,929.0,House,2026-08-08,auction
Castle Hill,"5 Kincraig Court, Castle Hill",2720000,6,3,4.0,905.0,House,2026-08-08,auction
Castle Hill,"15 Anthony Road, Castle Hill",2690000,3,2,1.0,776.0,House,2026-08-07,private treaty
